Nama_Produk,Harga,Rating,Terjual,Lokasi
ARUTALA Kopi Arabika Gayo  Arabica Coffee 100 gram,46900.0,4.9,2000.0,Tangerang
ARUTALA Kopi Flores Bajawa Arabika Arabica Coffee 200 gram,86900.0,4.9,10000.0,Tangerang
Biji Kopi Arabika Java Preanger 200 gram - Arabika Full Wash Grade 1 | Roast Beans | Brewing | Medium Roast | Fillter | Blend Kopi | Kiyowo Coffee Roastery,79900.0,4.9,100.0,Bandung
Bubuk Kopi Arabika Gayo Wine 500 gr Terlaris,46900.0,4.8,250.0,Medan
ARUTALA Kopi Arabika Mandailing 200 gram,86900.0,5.0,9000.0,Tangerang
ARUTALA COFFEE - Arabika Bali Kintamani Fresh Roasted,46900.0,5.0,14.0,Tangerang
KERINCI HONEY 250GR/kopi/biji kopi/arabica,39950.0,4.8,100.0,Bandung
kopi arabica asli 1kg Espresso Based Biji Kopi Bubuk 100% FULL ARABICA Commercial Coffee Beans,169900.0,4.8,500.0,Kab. Bandung
ARUTALA Kopi Arabika Gayo Wine 500 Gram,266900.0,4.9,3000.0,Tangerang
ARUTALA Natural Series - Arabika Bali 200 gram,89900.0,5.0,1000.0,Tangerang
ARUTALA Kopi Gayo Takengon Arabika Arabica Coffee 1KG,409900.0,5.0,1000.0,Tangerang
Kopi Arabika Aceh Gayo Sumatra Premium Arabica Coffee Beans,86900.0,4.9,500.0,Jakarta Barat
Biji / Bubuk Kopi Arabika Java Preanger TILU JASMINE TEA MR O COFFEE,54500.0,4.9,6000.0,Jakarta Utara
Aceh Gayo Arabika Wet Hull Medium Roast 200g,86900.0,4.9,100.0,Semarang
Kopi arabika honey proses Coffee,43000.0,5.0,4.0,Kab. Probolinggo
ARABICA SINGLE ORIGIN GRADE 1 / GAYO WINE,264900.0,4.9,3000.0,Kab. Bandung Barat
Kopi Bubuk Biji House Blend Coffee 30% Arabica 70% Robusta Asli Espresso Good Quality,27664.0,4.8,1000.0,Kab. Bandung
